FranchiseId	FranchiseSeasonId	Slug	Abbreviation	ColorCodeHex	ColorCodeAltHex
45ad0890-5d7f-f3cc-f1a6-eb53ebc94458	8662a47d-ee26-aceb-409b-9a08440966d6	black-hills-state-yellow-jackets	BHS	000000	NULL
ad981d75-7e80-1d37-669c-012b6210b48f	4bfca4e6-14ec-51bd-ab86-4ccc1058ac23	bloomsburg-huskies	BLOM	000000	NULL
027a529f-07ea-77a1-0304-113074f21b22	a187248b-43e3-3ae3-7b7f-f286b305e621	bluffton-beavers	BLU	46166a	ffffff
a69eaac4-264f-7784-e124-fc429dc0388a	08cf17c9-768a-a7b1-0104-0c0e8b7d1cab	boise-state-broncos	BOIS	0033a0	fa4616
03740a18-f809-7463-5cc5-b666615ad26f	a8dd1b64-3c64-d24c-30aa-10e01fa7cc66	boston-college-eagles	BC	8c2232	dbcca6
fda6d6f6-7219-eea6-734e-d3261d1a751d	e25eabad-9235-77a0-b632-c0c1ef4cdaef	bowdoin-polar-bears	BOW	ffffff	000000
60bdb226-c9ff-2b85-8f72-76bf2c8d0daa	d2f84b1b-0ff6-89b8-3aa1-71978d3c5f89	bowie-state-bulldogs	BSU	000000	NULL
ea9f6b3e-4ff8-88f4-e159-af050b833c57	e91a34bd-c3e7-c7cd-e50d-24a66ed01731	bowling-green-falcons	BGSU	2b1000	492000
5ba9126a-6c99-ed04-e17c-2a31fbe25cda	ed0f3795-ccd9-fef1-1537-dfd148227cad	brevard-college-tornados	BRE	000000	NULL
22e052bb-b0c9-d20e-bc31-80e4ae011b66	1939b6f1-8781-b2ef-e058-61d0f9b507c3	bridgewater-state-bears	BRI	bf2f38	000000
ee071807-2d27-c8fa-f3f4-e4d65e95f825	2bce1514-e7c9-4c4d-cc56-f45dd593c820	bridgewater-va-eagles	BRI	990022	8d724b
f4a99a36-a3f0-adb7-b902-4415833fba3f	10a65d4a-71d7-7b9d-47ea-692f39ffe101	british-columbia-british-col	BRI	000000	NULL
b6f42403-8dc7-ea84-0316-6f1ece319dc8	a3c3c7b6-af79-a78c-ff35-40dc4357f396	brockport-golden-eagles	THE	000000	NULL
0d7b2031-d3f1-2c17-15b9-c5451d8c963e	f8cea5cc-d0ca-c5d2-b258-2c84feeeaec8	brown-bears	BRWN	411e09	949300
64a42211-a352-d2f9-5abe-a8abb0bf959c	aa1cc521-28ec-e6d0-3f98-bbdbad876ce8	bryant-bulldogs	BRY	000000	9f8343
690296cb-2052-5eda-6d2f-d2f9fbb43180	aab84beb-4f60-12c2-3f37-eb1c35ab3ca1	bucknell-bison	BUCK	000060	00316e
78a7546c-76a9-0b70-0f91-6cd8ad387897	9f6c98ca-f29d-584d-2245-0fe8c6c74d9e	buena-vista-beavers	BUE	feba12	001440
